Gird Size,10,5,3,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
200,-450,110,1,28.3071,-67.9543,13.5739,287.7120,16.4658,-200.0760,-97.1765,200,-450,110,0,0,0,0,0,0,0,0
200,-350,110,1,26.2926,-67.5528,36.1995,225.0590,21.5618,-134.6700,-96.9764,200,-350,110,0,0,0,0,0,0,0,0
200,-250,110,0,0,0,0,0,0,0,0,200,-250,110,0,0,0,0,0,0,0,0
200,-150,110,0,0,0,0,0,0,0,0,200,-150,110,0,0,0,0,0,0,0,0
200,-50,110,0,0,0,0,0,0,0,0,200,-50,110,0,0,0,0,0,0,0,0
200,50,110,0,0,0,0,0,0,0,0,200,50,110,0,0,0,0,0,0,0,0
200,150,110,0,0,0,0,0,0,0,0,200,150,110,0,0,0,0,0,0,0,0
200,250,110,0,0,0,0,0,0,0,0,200,250,110,0,0,0,0,0,0,0,0
200,350,110,0,0,0,0,0,0,0,0,200,350,110,1,-26.0367,-69.3615,36.3870,133.2340,22.9227,137.5770,96.0600
200,450,110,0,0,0,0,0,0,0,0,200,450,110,1,-27.9943,-69.5378,13.8357,75.4214,17.9010,198.1340,95.8717
300,-450,110,1,35.8889,-73.0294,8.5283,274.2920,37.3437,-186.6710,-78.7733,300,-450,110,0,0,0,0,0,0,0,0
300,-350,110,1,34.7914,-73.0329,30.2329,248.3120,40.1562,-153.6410,-78.8260,300,-350,110,0,0,0,0,0,0,0,0
300,-250,110,1,40.9132,-71.3243,45.7740,230.1530,51.0750,-127.3200,-80.7262,300,-250,110,1,-146.9210,-84.3602,10.2473,140.7970,102.5190,80.1183,110.6870
300,-150,110,1,56.0015,-68.5803,54.5268,221.1590,67.2145,-107.8250,-85.2304,300,-150,110,1,-127.0040,-77.2845,31.6796,140.3450,103.1730,80.0409,106.9750
300,-50,110,1,79.3665,-67.3488,54.8739,219.0400,84.1614,-93.2776,-92.8298,300,-50,110,1,-104.5470,-71.8193,46.8572,141.0030,97.7453,84.7443,100.6760
300,50,110,1,104.9260,-69.9212,46.6444,220.0720,96.4356,-83.5004,-101.3530,300,50,110,1,-79.2979,-69.3164,55.0652,141.6500,85.4799,94.5810,92.4113
300,150,110,1,127.5880,-75.5539,31.4312,221.0140,101.9170,-78.8839,-107.9590,300,150,110,1,-56.1863,-70.5287,54.7210,139.1080,68.5758,109.1870,84.8624
300,250,110,1,147.5660,-82.8915,9.9529,220.7760,101.3960,-79.1169,-111.9690,300,250,110,1,-41.1886,-73.2027,45.9988,129.9030,52.5704,128.6250,80.1727
300,350,110,0,0,0,0,0,0,0,0,300,350,110,1,-35.0401,-74.7907,30.5097,112.1840,41.7887,154.3840,77.9657
300,450,110,0,0,0,0,0,0,0,0,300,450,110,1,-36.0484,-74.5796,8.8641,87.3762,38.8144,186.2540,77.5539
400,-450,110,1,49.5616,-69.7269,-5.6954,273.9340,51.4743,-186.3060,-68.9572,400,-450,110,0,0,0,0,0,0,0,0
400,-350,110,1,48.3002,-70.0127,16.2287,257.8180,52.8975,-160.0550,-68.6045,400,-350,110,0,0,0,0,0,0,0,0
400,-250,110,1,53.8106,-67.6265,30.4277,245.5320,59.3102,-137.3520,-70.3253,400,-250,110,1,-153.3650,-71.7122,-7.0247,127.8320,90.5261,90.7902,112.7760
400,-150,110,1,66.3361,-63.4620,37.6143,238.1050,68.7932,-118.5950,-74.7927,400,-150,110,1,-131.5630,-64.3613,15.3182,127.3160,91.3300,90.3120,104.1300
400,-50,110,1,85.5973,-59.7037,37.3380,234.9180,78.6865,-104.0980,-83.0648,400,-50,110,1,-108.6160,-60.8749,29.9231,126.9280,87.7101,95.1364,93.2980
400,50,110,1,108.8430,-59.1008,29.6390,234.1250,86.2402,-94.3073,-94.3204,400,50,110,1,-85.7753,-61.5418,37.6112,125.9110,80.2160,104.9640,82.3721
400,150,110,1,132.1350,-62.8009,15.0092,233.9730,89.9686,-89.5640,-105.5350,400,150,110,1,-66.7742,-65.2599,37.8927,122.5730,70.3684,119.4310,74.1924
400,250,110,1,154.0680,-70.5181,-7.3798,233.7020,89.3645,-90.1939,-114.4720,400,250,110,1,-54.3267,-69.3376,30.7301,115.1990,60.9228,138.0010,69.5872
400,350,110,0,0,0,0,0,0,0,0,400,350,110,1,-48.7718,-71.5909,16.5726,103.2860,54.4668,160.2810,67.6020
400,450,110,0,0,0,0,0,0,0,0,400,450,110,1,-49.8888,-71.0802,-5.2915,87.7724,52.7796,185.9770,67.6115
500,-450,110,1,69.6959,-59.8480,-34.2451,277.9270,61.4041,-194.6540,-68.6943,500,-450,110,0,0,0,0,0,0,0,0
500,-350,110,1,64.8757,-61.5088,-6.9085,265.2060,60.8421,-168.5480,-66.2838,500,-350,110,0,0,0,0,0,0,0,0
