X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
200,-450,180,200,-450,180,0
200,-450,180,200,-350,180,0
200,-450,180,200,-250,180,0
200,-450,180,200,-150,180,0
200,-450,180,200,-50,180,0
200,-450,180,200,50,180,0
200,-450,180,200,150,180,0
200,-450,180,200,250,180,0
200,-450,180,200,350,180,0
200,-450,180,200,450,180,0
200,-450,180,300,-450,180,0
200,-450,180,300,-350,180,0
200,-450,180,300,-250,180,0
200,-450,180,300,-150,180,0
200,-450,180,300,-50,180,0
200,-450,180,300,50,180,0
200,-450,180,300,150,180,0
200,-450,180,300,250,180,0
200,-450,180,300,350,180,0
200,-450,180,300,450,180,0
200,-450,180,400,-450,180,0
200,-450,180,400,-350,180,0
200,-450,180,400,-250,180,0
200,-450,180,400,-150,180,0
200,-450,180,400,-50,180,0
200,-450,180,400,50,180,0
200,-450,180,400,150,180,0
200,-450,180,400,250,180,0
200,-450,180,400,350,180,0
200,-450,180,400,450,180,0
200,-450,180,500,-450,180,0
200,-450,180,500,-350,180,0
200,-450,180,500,-250,180,0
200,-450,180,500,-150,180,0
200,-450,180,500,-50,180,0
200,-450,180,500,50,180,0
200,-450,180,500,150,180,0
200,-450,180,500,250,180,0
200,-450,180,500,350,180,0
200,-450,180,500,450,180,0
200,-450,180,600,-450,180,0
200,-450,180,600,-350,180,0
200,-450,180,600,-250,180,0
200,-450,180,600,-150,180,0
200,-450,180,600,-50,180,0
200,-450,180,600,50,180,0
200,-450,180,600,150,180,0
200,-450,180,600,250,180,0
200,-450,180,600,350,180,0
200,-450,180,600,450,180,0
200,-350,180,200,-450,180,0
200,-350,180,200,-350,180,0
200,-350,180,200,-250,180,0
200,-350,180,200,-150,180,0
200,-350,180,200,-50,180,0
200,-350,180,200,50,180,0
200,-350,180,200,150,180,0
200,-350,180,200,250,180,0
200,-350,180,200,350,180,0
200,-350,180,200,450,180,0
200,-350,180,300,-450,180,10.0794
200,-350,180,300,-350,180,0
200,-350,180,300,-250,180,0
200,-350,180,300,-150,180,0
200,-350,180,300,-50,180,0
200,-350,180,300,50,180,0
200,-350,180,300,150,180,0
200,-350,180,300,250,180,0
200,-350,180,300,350,180,0
200,-350,180,300,450,180,0
200,-350,180,400,-450,180,30.4214
200,-350,180,400,-350,180,22.3476
200,-350,180,400,-250,180,5.10595
200,-350,180,400,-150,180,0
200,-350,180,400,-50,180,0
200,-350,180,400,50,180,12.1187
200,-350,180,400,150,180,24.5721
200,-350,180,400,250,180,2.81322
200,-350,180,400,350,180,0
200,-350,180,400,450,180,0
200,-350,180,500,-450,180,0
200,-350,180,500,-350,180,0
200,-350,180,500,-250,180,0
200,-350,180,500,-150,180,0
200,-350,180,500,-50,180,7.51495
200,-350,180,500,50,180,30.5478
200,-350,180,500,150,180,30.3812
200,-350,180,500,250,180,15.3574
200,-350,180,500,350,180,0
200,-350,180,500,450,180,0
200,-350,180,600,-450,180,0
200,-350,180,600,-350,180,6.29624
200,-350,180,600,-250,180,7.86256
200,-350,180,600,-150,180,21.7616
200,-350,180,600,-50,180,36.7898
200,-350,180,600,50,180,32.9321
200,-350,180,600,150,180,17.6597
200,-350,180,600,250,180,0
200,-350,180,600,350,180,0
200,-350,180,600,450,180,0
200,-250,180,200,-450,180,52.1977
200,-250,180,200,-350,180,10.9796
200,-250,180,200,-250,180,0
200,-250,180,200,-150,180,0
200,-250,180,200,-50,180,0
200,-250,180,200,50,180,0
200,-250,180,200,150,180,0
200,-250,180,200,250,180,0
200,-250,180,200,350,180,0
200,-250,180,200,450,180,0
200,-250,180,300,-450,180,45.5023
200,-250,180,300,-350,180,18.3541
200,-250,180,300,-250,180,0
200,-250,180,300,-150,180,0
200,-250,180,300,-50,180,0
200,-250,180,300,50,180,0
200,-250,180,300,150,180,0
200,-250,180,300,250,180,0
200,-250,180,300,350,180,0
200,-250,180,300,450,180,0
200,-250,180,400,-450,180,36.5923
200,-250,180,400,-350,180,36.9163
200,-250,180,400,-250,180,31.3206
200,-250,180,400,-150,180,18.4148
200,-250,180,400,-50,180,0
200,-250,180,400,50,180,0
200,-250,180,400,150,180,4.76366
200,-250,180,400,250,180,25.3257
200,-250,180,400,350,180,0
200,-250,180,400,450,180,0
200,-250,180,500,-450,180,18.7089
200,-250,180,500,-350,180,23.5696
