Xl,Yl,Xr,Yr,Al,Ar,A,C,Ok,Distancia(mm)
200,-450,200,-450,1,1,1,0,0,6.10E-05
200,-450,200,-350,1,1,1,0,0,2.85659
200,-450,200,-250,1,1,1,0,0,3.59941
200,-450,200,-150,1,1,1,0,0,1.79129
200,-450,200,-50,1,1,1,0,0,4.82225
200,-450,200,50,1,1,1,0,0,16.1811
200,-450,200,150,1,1,1,0,0,7.02054
200,-450,200,250,1,1,1,0,0,18.5023
200,-450,200,350,1,1,1,0,0,7.82788
200,-450,200,450,1,1,1,0,0,4.14278
200,-450,300,-450,1,1,1,0,0,3.7298
200,-450,300,-350,1,1,1,0,0,4.32301
200,-450,300,-250,1,1,1,0,0,2.37214
200,-450,300,-150,1,1,1,0,0,10.2897
200,-450,300,-50,1,1,1,0,0,6.69891
200,-450,300,50,1,1,1,0,0,2.61149
200,-450,300,150,1,1,1,0,0,6.70E+00
200,-450,300,250,1,1,1,0,0,3.71229
200,-450,300,350,1,1,1,0,0,1.90709
200,-450,300,450,1,0,0,0,0,1.90709
200,-450,400,-450,1,1,1,0,0,3.79438
200,-450,400,-350,1,1,1,0,0,4.22229
200,-450,400,-250,1,1,1,0,0,10.7031
200,-450,400,-150,1,1,1,0,0,5.15653
200,-450,400,-50,1,1,1,0,0,17.8992
200,-450,400,50,1,1,1,0,0,2.4844
200,-450,400,150,1,1,1,0,0,6.41505
200,-450,400,250,1,1,1,0,0,4.4751
200,-450,400,350,1,1,1,0,0,3.51967
200,-450,400,450,1,0,0,0,0,3.51967
200,-450,500,-450,1,1,1,0,0,4.70507
200,-450,500,-350,1,1,1,0,0,0.400564
200,-450,500,-250,1,1,1,0,0,0.704688
200,-450,500,-150,1,1,1,0,0,3.3215
200,-450,500,-50,1,1,1,0,0,5.32046
200,-450,500,50,1,1,1,0,0,13.9794
200,-450,500,150,1,1,1,0,0,3.73498
200,-450,500,250,1,1,1,0,0,19.0607
200,-450,500,350,1,0,0,0,0,19.0607
200,-450,500,450,1,0,0,0,0,19.0607
200,-450,600,-450,1,0,0,0,0,19.0607
200,-450,600,-350,1,1,1,0,0,9.52484
200,-450,600,-250,1,1,1,0,0,9.73857
200,-450,600,-150,1,1,1,0,0,12.351
200,-450,600,-50,1,1,1,0,0,18.2508
200,-450,600,50,1,1,1,0,0,6.45246
200,-450,600,150,1,1,1,0,0,1.22759
200,-450,600,250,1,0,0,0,0,1.22759
200,-450,600,350,1,0,0,0,0,1.22759
200,-450,600,450,1,0,0,0,0,1.22759
200,-350,200,-450,1,1,1,0,0,2.32169
200,-350,200,-350,1,1,1,0,0,3.00E-05
200,-350,200,-250,1,1,1,0,0,5.56663
200,-350,200,-150,1,1,1,0,0,9.04468
200,-350,200,-50,1,1,1,0,0,3.12217
200,-350,200,50,1,1,1,0,0,1.1079
200,-350,200,150,1,1,1,0,0,6.20422
200,-350,200,250,1,1,1,0,0,4.38228
200,-350,200,350,1,1,1,0,0,15.3147
200,-350,200,450,1,1,1,0,0,17.6656
200,-350,300,-450,1,1,1,0,0,9.58973
200,-350,300,-350,1,1,1,0,0,3.49859
200,-350,300,-250,1,1,1,0,0,1.10621
200,-350,300,-150,1,1,1,0,0,6.65179
200,-350,300,-50,1,1,1,0,0,2.91687
200,-350,300,50,1,1,1,0,0,6.06227
200,-350,300,150,1,1,1,0,0,5.1669
