X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
200,-450,180,200,-450,180,0
200,-450,180,200,-350,180,0
200,-450,180,200,-250,180,0
200,-450,180,200,-150,180,0
200,-450,180,200,-50,180,0
200,-450,180,200,50,180,0
200,-450,180,200,150,180,0
200,-450,180,200,250,180,0
200,-450,180,200,350,180,0
200,-450,180,200,450,180,0
200,-450,180,300,-450,180,0
200,-450,180,300,-350,180,0
200,-450,180,300,-250,180,0
200,-450,180,300,-150,180,0
200,-450,180,300,-50,180,0
200,-450,180,300,50,180,0
200,-450,180,300,150,180,0
200,-450,180,300,250,180,0
200,-450,180,300,350,180,0
200,-450,180,300,450,180,0
200,-450,180,400,-450,180,0
200,-450,180,400,-350,180,0
200,-450,180,400,-250,180,0
200,-450,180,400,-150,180,0
200,-450,180,400,-50,180,0
200,-450,180,400,50,180,0
200,-450,180,400,150,180,0
200,-450,180,400,250,180,0
200,-450,180,400,350,180,0
200,-450,180,400,450,180,0
200,-450,180,500,-450,180,0
200,-450,180,500,-350,180,0
200,-450,180,500,-250,180,0
200,-450,180,500,-150,180,0
200,-450,180,500,-50,180,0
200,-450,180,500,50,180,0
200,-450,180,500,150,180,0
200,-450,180,500,250,180,0
200,-450,180,500,350,180,0
200,-450,180,500,450,180,0
200,-450,180,600,-450,180,0
200,-450,180,600,-350,180,0
200,-450,180,600,-250,180,0
200,-450,180,600,-150,180,0
200,-450,180,600,-50,180,0
200,-450,180,600,50,180,0
200,-450,180,600,150,180,0
200,-450,180,600,250,180,0
200,-450,180,600,350,180,0
200,-450,180,600,450,180,0
200,-350,180,200,-450,180,0
200,-350,180,200,-350,180,0
200,-350,180,200,-250,180,0
200,-350,180,200,-150,180,0
200,-350,180,200,-50,180,0
200,-350,180,200,50,180,0
200,-350,180,200,150,180,0
200,-350,180,200,250,180,0
200,-350,180,200,350,180,0
200,-350,180,200,450,180,0
200,-350,180,300,-450,180,0
200,-350,180,300,-350,180,0
200,-350,180,300,-250,180,0
200,-350,180,300,-150,180,0
200,-350,180,300,-50,180,0
200,-350,180,300,50,180,0
200,-350,180,300,150,180,0
200,-350,180,300,250,180,0
200,-350,180,300,350,180,0
200,-350,180,300,450,180,0
200,-350,180,400,-450,180,0
200,-350,180,400,-350,180,0
200,-350,180,400,-250,180,0
200,-350,180,400,-150,180,0
200,-350,180,400,-50,180,0
200,-350,180,400,50,180,0
200,-350,180,400,150,180,0
200,-350,180,400,250,180,0
200,-350,180,400,350,180,0
200,-350,180,400,450,180,0
200,-350,180,500,-450,180,0
200,-350,180,500,-350,180,0
200,-350,180,500,-250,180,0
200,-350,180,500,-150,180,0
200,-350,180,500,-50,180,0
200,-350,180,500,50,180,0
200,-350,180,500,150,180,0
200,-350,180,500,250,180,0
200,-350,180,500,350,180,0
200,-350,180,500,450,180,0
200,-350,180,600,-450,180,0
200,-350,180,600,-350,180,0
200,-350,180,600,-250,180,0
200,-350,180,600,-150,180,0
200,-350,180,600,-50,180,0
200,-350,180,600,50,180,0
200,-350,180,600,150,180,0
200,-350,180,600,250,180,0
200,-350,180,600,350,180,0
200,-350,180,600,450,180,0
200,-250,180,200,-450,180,0
200,-250,180,200,-350,180,0
200,-250,180,200,-250,180,0
200,-250,180,200,-150,180,0
200,-250,180,200,-50,180,0
200,-250,180,200,50,180,0
200,-250,180,200,150,180,0
200,-250,180,200,250,180,0
200,-250,180,200,350,180,0
200,-250,180,200,450,180,0
200,-250,180,300,-450,180,0
200,-250,180,300,-350,180,0
200,-250,180,300,-250,180,0
200,-250,180,300,-150,180,0
200,-250,180,300,-50,180,0
200,-250,180,300,50,180,0
200,-250,180,300,150,180,0
200,-250,180,300,250,180,0
200,-250,180,300,350,180,0
200,-250,180,300,450,180,0
200,-250,180,400,-450,180,0
200,-250,180,400,-350,180,0
200,-250,180,400,-250,180,0
200,-250,180,400,-150,180,0
200,-250,180,400,-50,180,0
200,-250,180,400,50,180,0
200,-250,180,400,150,180,0
200,-250,180,400,250,180,0
200,-250,180,400,350,180,0
200,-250,180,400,450,180,0
200,-250,180,500,-450,180,0
200,-250,180,500,-350,180,0
200,-250,180,500,-250,180,0
200,-250,180,500,-150,180,0
200,-250,180,500,-50,180,0
200,-250,180,500,50,180,0
200,-250,180,500,150,180,0
200,-250,180,500,250,180,0
